Key,Address,R,Hp,Pos,Label
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,0,"[5, 2, 0]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,1,"[5, 2, 1]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,2,"[5, 2, 2]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,3,"[5, 2, 3]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,4,"[5, 2, 4]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,5,"[5, 2, 5]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,6,"[5, 2, 6]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,7,"[5, 2, 7]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,8,"[5, 2, 8]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,9,"[5, 2, 9]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,10,"[5, 2, 10]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,11,"[5, 2, 11]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,12,"[5, 2, 12]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,13,"[5, 2, 13]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,14,"[5, 2, 14]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,15,"[5, 2, 15]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,16,"[5, 2, 16]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,17,"[5, 2, 17]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,18,"[5, 2, 18]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,19,"[5, 2, 19]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,20,"[5, 2, 20]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,21,"[5, 2, 21]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,22,"[5, 2, 22]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,23,"[5, 2, 23]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,24,"[5, 2, 24]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,25,"[5, 2, 25]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,26,"[5, 2, 26]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,27,"[5, 2, 27]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,28,"[5, 2, 28]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,29,"[5, 2, 29]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,30,"[5, 2, 30]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,31,"[5, 2, 31]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,32,"[5, 2, 32]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,33,"[5, 2, 33]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,34,"[5, 2, 34]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,35,"[5, 2, 35]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,36,"[5, 2, 36]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,37,"[5, 2, 37]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,38,"[5, 2, 38]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,39,"[5, 2, 39]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,40,"[5, 2, 40]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,41,"[5, 2, 41]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,42,"[5, 2, 42]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,43,"[5, 2, 43]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,44,"[5, 2, 44]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,45,"[5, 2, 45]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,46,"[5, 2, 46]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,47,"[5, 2, 47]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,48,"[5, 2, 48]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,49,"[5, 2, 49]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,50,"[5, 2, 50]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,51,"[5, 2, 51]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,52,"[5, 2, 52]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,53,"[5, 2, 53]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,54,"[5, 2, 54]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,55,"[5, 2, 55]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,56,"[5, 2, 56]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,57,"[5, 2, 57]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,58,"[5, 2, 58]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,59,"[5, 2, 59]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,60,"[5, 2, 60]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,61,"[5, 2, 61]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,62,"[5, 2, 62]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,63,"[5, 2, 63]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,64,"[5, 2, 64]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,65,"[5, 2, 65]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,66,"[5, 2, 66]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,67,"[5, 2, 67]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,68,"[5, 2, 68]"
R_5_Hp_2,../database/shallow_water/data/120timestep/R_5_Hp_2.npy,5,2,69,"[5, 2, 69]"
